SchoolName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019, 
Beijing Institute of Technology, 0 0 8 2 , 1 0 10 0 , 0 0 13 6 , 1 0 16 1 , 1 1 18 1 , 3 0 10 1 , 1 0 16 3 , 6 0 12 2 , 3 6 17 4 , 1 0 4 0 , 
Tsinghua University, 16 0 65 8 , 17 0 78 13 , 16 0 96 12 , 13 0 99 9 , 15 18 118 20 , 16 0 97 11 , 18 0 123 10 , 16 0 105 11 , 20 12 135 11 , 19 0 45 4 , 
Zhejiang University, 9 0 94 7 , 12 0 90 4 , 13 0 109 12 , 17 0 89 9 , 12 13 90 4 , 7 0 95 5 , 12 0 93 5 , 13 0 119 10 , 12 15 129 8 , 14 0 34 8 , 
Peking University, 8 0 40 4 , 9 0 44 9 , 11 0 38 5 , 8 0 45 12 , 5 9 53 5 , 13 0 41 4 , 7 0 57 6 , 7 0 40 8 , 4 7 56 11 , 6 0 22 0 , 
Sun Yat-sen University, 2 0 24 1 , 2 0 64 0 , 2 0 21 3 , 2 0 90 2 , 3 3 30 1 , 4 0 71 2 , 1 0 34 3 , 1 0 77 3 , 0 10 35 4 , 1 0 60 4 , 
Shanghai Jiao Tong University,  5 0 53 6 , 5 0 84 6 , 5 0 62 7 , 5 0 101 9 , 6 12 65 10 , 4 0 86 4 , 5 0 63 3 , 4 0 114 10 , 8 13 86 6 , 7 0 32 1 , 
Fudan University, 2 0 28 3 , 3 0 107 1 , 5 0 34 1 , 1 0 109 5 , 3 7 52 5 , 4 0 112 6 , 0 0 34 2 , 4 0 173 6 , 2 8 35 2 , 5 0 8 1 , 
Shandong University, 4 0 44 0 , 5 0 55 2 , 2 0 47 3 , 2 0 61 1 , 2 6 43 3 , 6 0 30 2 , 4 0 23 1 , 0 0 38 2 , 4 7 41 1 , 1 0 10 1 , 
Huazhong University of Science & Technology, 5 0 51 3 , 4 0 53 5 , 5 0 33 3 , 4 0 37 3 , 7 7 41 5 , 8 0 40 1 , 6 0 42 1 , 4 0 49 1 , 5 10 56 4 , 6 0 7 0 , 
Xi'an Jiaotong University, 5 0 28 3 , 4 0 32 1 , 7 0 36 1 , 5 0 35 1 , 2 7 39 4 , 7 0 46 2 , 4 0 51 1 , 9 0 49 1 , 7 11 68 2 , 2 0 7 0 , 
Southeast University - China, 5 0 29 6 , 3 0 32 7 , 3 0 42 5 , 6 0 47 6 , 6 8 47 6 , 2 0 53 8 , 6 0 45 5 , 5 0 56 4 , 6 11 65 5 , 7 0 10 0 , 
Beihang University, 2 0 11 2 , 2 0 7 1 , 1 0 18 4 , 5 0 21 4 , 3 4 10 0 , 5 0 10 2 , 3 0 24 5 , 4 0 23 2 , 5 5 23 3 , 7 0 6 2 , 
Harbin Institute of Technology, 3 0 77 3 , 5 0 47 3 , 4 0 100 4 , 2 0 51 4 , 4 9 93 5 , 8 0 44 1 , 4 0 81 2 , 3 0 79 4 , 6 5 110 3 , 5 0 12 0 , 
Tongji University, 6 0 67 7 , 1 0 93 5 , 3 0 87 8 , 5 0 85 6 , 6 5 71 8 , 4 0 76 7 , 6 0 61 7 , 4 0 99 6 , 4 8 96 8 , 4 0 18 1 , 
Wuhan University, 12 0 44 1 ,  6 0 52 3 , 7 0 43 0 , 7 0 46 0 , 5 10 61 2 , 5 0 55 0 , 7 0 64 2 , 4 0 65 2 , 3 9 62 0 , 5 0 5 0 , 
Sichuan University, 5 0 40 4 , 2 0 31 4 , 4 0 38 3 , 2 0 31 2 , 3 6 46 2 , 5 0 45 3 , 1 0 38 6 , 1 0 42 6 , 5 6 46 5 , 4 0 11 3 , 
Northwestern Polytechnical University, 0 0 14 1 , 2 0 13 0 , 2 0 7 0 , 1 0 9 0 , 0 6 13 2 , 1 0 11 0 , 3 0 15 0 , 1 0 23 1 , 1 8 17 0 , 2 0 4 0 , 
Jilin University, 4 0 64 3,  3 0 76 0 , 2 0 61 7 , 1 0 54 2 , 3 8 49 3 , 2 0 73 1 , 2 0 57 2 , 2 0 52 2 , 0 5 57 1 , 4 0 44 1 , 
Beijing Normal University, 1 0 16 3 , 1 0 37 2 , 1 0 15 2 , 2 0 16 1 , 1 9 24 3 , 2 0 12 1 , 1 0 39 0 , 2 0 21 2 , 2 13 19 1 , 0 0 13 0 , 
Central South University, 5 0 39 6 , 6 0 43 4 , 4 0 44 7 , 6 0 54 4 , 3 4 52 7 , 3 0 47 4 , 2 0 51 4 , 3 0 56 6 , 8 3 48 4 , 7 0 9 0 , 
