基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,4,0,0,0,0
2019,248,7,27,244,14354.43,4
2018,261,10,19,245,18117.7,8
2017,221,128,19,207,24758.7,7
2016,218,132,18,208,15704.1,5
2015,172,155,29,165,12397,5
2014,175,112,11,171,15101,4
2013,201,171,22,191,15319.4,9
2012,183,226,11,175,13942.3,7
2011,181,49,14,173,8909.6,5
2010,168,73,22,165,5985.8,2
2009,140,72,9,137,5206.8,2
2008,85,33,6,84,2777.38,1
2007,75,20,4,73,1815,2
2006,74,16,5,61,1958.5,2
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
