报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,99,21,0.2,13237,133,54,39
2019,111,40,0.4,13066,117,50,56
2018,136,92,0.7,9644,70,80,55
2017,166,69,0.4,13344,80,109,55
2016,185,53,0.3,11322,61,100,84
2015,222,151,0.7,14105,63,146,71
2014,163,215,1.3,14228,87,95,67
2013,165,64,0.4,9493,57,106,59
2012,128,95,0.7,7270,56,65,58
2011,168,73,0.4,8381,49,94,60
2010,124,58,0.5,5967,48,66,58
2009,103,54,0.5,5933,57,67,36
2008,24,6,0.3,787,32,16,8
2006,1,0,0,13,13,1,0
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
